,Rank,NCTId,BriefTitle,Condition,StudyType,EligibilityCriteria,EnrollmentCount,LocationCity,LocationCountry,LocationState,LocationZip,MinimumAge,MaximumAge,OverallStatus,Phase,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorAffiliation,LeadSponsorName,InterventionName,StartDate,CentralContactName
661,662,NCT00411788,A Phase II Study of Rapamycin and Trastuzumab for Patients With HER-2 Receptor Positive Metastatic Breast Cancer,Breast Cancer,Interventional,"Inclusion Criteria:

Histologically confirmed HER2 overexpressing (IHC 3+ and/or FISH +) metastatic breast cancer with measurable disease. Patients with either HER2 3+ positive tumors by immunohistochemistry (Dako Herceptest®) or gene amplification (> 2 copies) by fluorescence in-situ hybridation (FISH) are eligible.
Progression following at least 8 weeks of standard doses of Herceptin or a Herceptin containing regimen.
Off Herceptin for a minimum of 2 weeks.
Patients must have measurable disease as defined by RECIST guidelines (the lesion that will be biopsied on study cannot be the only measurable lesion).
Life expectancy > 3 months
Age ≥18 years
ECOG performance status ≤2

Adequate bone marrow function as indicated by the following:

ANC ≥1500/µL
Platelets ≥100,000/µL
Hemoglobin ≥9 g/dL
Adequate liver function, as indicated by bilirubin ≤1.5 x ULN, AST or ALT <2x ULN.
Adequate renal function, as indicated by creatinine <1.5 x upper limit of normal (ULN)
Ability to understand and the willingness to sign a written informed consent.
Adequate birth control: Women of child-bearing potential must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry and for the duration of study participation and must have a negative serum or urine pregnancy test within 1 week prior to beginning treatment on this trial. Pregnant and nursing patients are excluded because the effects of the combination of Rapamycin on a fetus or nursing child are unknown. Should a woman become pregnant or suspect she is pregnant while participating in this study, she should inform her treating physician immediately.
Fasting serum cholesterol <350 mg/d L and triglycerides < 400 mg/ d L.
Biopsy is required but patients or physicians may opt out of this part of the trial if sufficient justification is provided. Justification must be provided to the PI in writing indicating excessive physical risk or psychological trauma if biopsy is undertaken.

Exclusion Criteria:

Active infection or treatment for systemic infections within 14 days of enrollment
Patients with active brain metastases requiring treatment, inclusive but not limited to surgery, radiation, and corticosteroids (patients with asymptomatic non- progressing brain metastasis who have completed treatment ≥30 days before enrollment and without evidence of progression on a post treatment MRI may be considered for the study).
Pregnant or lactating women
Prior chemotherapy within the last 4 weeks (last 6 weeks for nitrosureas/mitomycin)
Prior radiation therapy within the last 4 weeks; prior radiation therapy to indicator lesion (unless objective disease recurrence or progression within the radiation portal has been documented since completion of radiation).
Prior therapy with rapamycin, rapamycin analogs, or experimental agents targeting mTOR.
Concomitant malignancies or previous malignancies within the last 5 years, with the exception of adequately treated basal or squamous cell carcinoma of the skin or carcinoma in situ of the cervix.
Ejection fraction <50% or below the lower limit of the institutional normal range, whichever is lower
Hypersensitivity to trial medications
Patients may not be receiving any other investigational agents within 30 days before enrollment.
Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements.
Pregnant women are excluded from this study because the investigational agents may have the potential for teratogenic or abortifacient effects. Because there is an unknown but potential risk for adverse events in nursing infants secondary to treatment of the mother with these agents, breastfeeding should be discontinued if the mother is treated.
HIV-positive patients are ineligible because these patients are at increased risk of lethal infections when treated with marrow-suppressive therapy and the potential pharmacokinetic interaction between antiretroviral therapy and the investigational agents.
Use of all herbal and alternative medications within 4 weeks. All herbal and alternative medications should be discontinued while on study, these include but not limited to: Hydrastis canadensis (goldenseal) - Uncaria tomentosa (cat's claw) - Echinacea angustifolia roots - trifolium pratense (wild cherry) - matricaria chamomila (chamomile) - Glycyrrhiza glabra (licorice) - dillapiol - naringenim.
Use of any of these medications within 4 weeks; cyclosporine, diltiazen, ketoconazole, rifampin, fluconazole, delavirdine, nicardipine, pioglitazone, and sulfonamides, erythromycin, clarithromycin, itraconazole, erythromycin, metoclopramide, nevirapine, phenobarbital, phenytoin, indinavir, fosamprenavir, nefazadone, St Johns Wort.
Consumption of grapefruit juice is prohibited during the study.
Use of warfarin (Coumadin), immunosuppressive agents or chronic oral, intravenous or topical steroid",11,Bridgeport,United States,Connecticut,06610,18 Years,,Completed,Phase 2,,,Yale University,Rapamycin,December 2006,
662,663,NCT04456855,Locoregional Surgery of the Primary Tumor in de Novo Stage IV Breast Cancer Patients,Breast Neoplasm Female,Observational,"Inclusion Criteria:

Operable stage IV breast cancer patients,whose primary lesion is invasive breast cancer confirmed by pathology, and metastases can be confirmed by pathology or imageology examination.
ECOG-PS 0-2.
Bone marrow, liver and kidney should be fully functional.
Patients received the locoregional surgery of the primary tumor in de novo in our center, or didn't received the locoregional surgery of the primary tumor in de novo.
For the patient who accepted systematic treatment before operation, the systematic treatment must be administered within a year since diagnosed.

Exclusion Criteria:

Accompanied with other primary malignant tumors.
Patients who can't plan for follow-up effectively and regularly.
Multiple liver metastasis and ALT/AST four times higher than normal at patients' first diagnosis.",358,Foshan,China,Guangdong,528000,18 Years,75 Years,Recruiting,,Herui Yao,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Locoregional surgery,"September 1, 2019","Herui Yao, PhD"
663,664,NCT03285412,"CDK 4/6 Inhibitor, Ribociclib, With Adjuvant Endocrine Therapy for ER-positive Breast Cancer",Breast Cancer,Interventional,"Inclusion Criteria:

Participants must have biopsy proven localized ER+ (≥ 10%), HER2 negative, invasive breast cancer, with pathological stage (including post-neoadjuvant therapy) T1c-T4c, any N, M0, by AJCC 7th edition staging. Invasive breast cancer must be ER+ in ≥10% of the cells and HER2 negative (IHC 0 or 1+ and/or FISH negative with a ratio <2) by ASCO/CAP guidelines. For IHC 2+, the tumor must be FISH negative with a ratio <2. PR status must be performed. ER, PR and HER2 measurements should be performed according to institutional (local) guidelines, in a CLIA-approved setting. Evaluation for metastatic disease is not required in the absence of symptoms. Patients must have completed definitive surgery for breast cancer.
Detectable ctDNA (separate pre-screening consent)
No prior history of other malignancies within past 5 year (besides breast cancer as per 3.1.1). Individuals with the following cancers are eligible if diagnosed and treated within the past 5 years: ductal carcinoma in situ of the breast, cervical cancer in situ, and basal cell or squamous cell carcinoma of the skin. No concurrent malignancy or other serious medical condition as deemed by the investigator.
Participants may or may not have received (neo)adjuvant chemotherapy, but must be at least 30 days after last dose of chemotherapy and/or biological therapy, with no more than grade 1 residual toxicity at the time of screening.
Participants may or may not have received adjuvant radiotherapy, but must be at least 30 days after last dose radiotherapy, with no more than grade 1 residual toxicity at the time of screening.
Pre- and postmenopausal women are eligible. Premenopausal women must have a negative serum or urine pregnancy test. Pregnancy testing does not need to be pursued in female patients who are: age ≥ 60 years; or age < 60 with intact uterus and amenorrhea for 12 consecutive months or more AND estrogen (estradiol) levels within postmenopausal range; or status-post bilateral oophorectomy, total hysterectomy, or bilateral tubal ligation.
QTc (Fredericia's formula) < 470ms.
Must be ≥ 18 years of age.
No history of prior CDK 4/6 inhibitor use.
ECOG performance status 0-1 (Karnofsky ≥70%, see Appendix A)
Patients may enroll within 10 years of breast cancer diagnosis, as long as there is a plan for at least 1 more year of adjuvant endocrine therapy.
Ability to understand and the willingness to sign a written informed consent document. Patient must sign the Informed Consent (ICF) prior to any screening procedures being performed and is able to comply with protocol requirements.
Participants must have been on adjuvant endocrine therapy, either tamoxifen or aromatase inhibitor (AI), for at least 6 months without any significant adverse events leading to drug interruption for more than 1 month, and must not have had any change in endocrine therapy in the past 6 months (till date of trial consent). Prior use of any AI, including letrozole, anastrozole or exemestane, or tamoxifen is allowed.

Patient has adequate bone marrow and organ function as defined by the following laboratory values at screening:

Absolute neutrophil count ≥1.5 × 109/L
Platelets ≥100 × 109/L
Hemoglobin ≥9.0 g/dL
Potassium, total calcium (corrected for serum albumin), magnesium, sodium and phosphorus within normal limits for the institution or corrected to within normal limits with supplements before first dose of study medication
Serum creatinine <1.5 mg/dL or creatinine clearance ≥50 mL/min
Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) <2.5 x ULN.
Total bilirubin < ULN; or total bilirubin ≤3.0 x ULN or direct bilirubin ≤1.5 x ULN in patients with well-documented Gilbert's Syndrome.
Fasting plasma glucose <140 mg/dL / 7.7 mmol/L..

Exclusion Criteria:

Participants who have had chemotherapy or radiotherapy within 4 weeks (6 weeks for nitrosoureas or mitomycin C) prior to entering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier.
Participants who are receiving any other investigational agents.
Participants with known brain metastases, or any other metastases from cancer.
Participants receiving any medications or substances that are inhibitors or inducers of CYP3A4 are ineligible. Because the lists of these agents are constantly changing, it is important to regularly consult a frequently-updated list such as http://medicine.iupui.edu/clinpharm/ddis/table.aspx; medical reference texts such as the Physicians' Desk Reference may also provide this information. As part of the enrollment/informed consent procedures, the patient will be counseled on the risk of interactions with other agents, and what to do if new medications need to be prescribed or if the patient is considering a new over-the-counter medicine or herbal product.
Uncontrolled inter-current illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements. Patient has impairment of gastrointestinal (GI) function or GI disease that may significantly alter the absorption of the study drugs (e.g., ulcerative diseases, uncontrolled nausea, vomiting, diarrhea, malabsorption syndrome, or small bowel resection).

Clinically significant, uncontrolled heart disease and/or cardiac repolarization abnormality including any of the following:

History of angina pectoris, symptomatic pericarditis, coronary artery bypass graft (CABG) or myocardial infarction within 6 months prior to study entry.
Documented cardiomyopathy.
Left Ventricular Ejection Fraction (LVEF) <50% as determined by Multiple Gated acquisition (MUGA) scan or echocardiogram (ECHO) detected during screening.
History of cardiac failure, significant/symptomatic bradycardia, Long QT syndrome, family history of idiopathic sudden death or congenital long QT syndrome or any of the following:
Known risk to prolong the QT interval or induce Torsade's de Pointes.
Uncorrected hypomagnesemia or hypokalemia.
Systolic Blood Pressure (SBP) >160 mmHg or <90 mmHg.
Bradycardia (heart rate <50 at rest), by ECG or pulse.
On screening, inability to determine the QTcF interval on the ECG (i.e.: unreadable or not interpretable) or QTcF >450 screening ECG (based on a mean of 3 ECGs).
History of hypersensitivity to ribociclib or any of its components.
HIV-positive participants on combination antiretroviral therapy are ineligible. These participants are at increased risk of lethal infections when treated with marrow-suppressive therapy. Appropriate studies will be undertaken in participants receiving combination antiretroviral therapy when indicated.
Pregnant women are excluded from this study because the safety of ribociclib is not established in pregnant women. For this reason and because CDK4/6 agents as well as other therapeutic agents used in this trial are known to be teratogenic, women of child-bearing potential (WOCBP) and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry, for the duration of treatment, and for at least 3 months after the completion of treatment. Should a woman become pregnant or suspect she is pregnant while participating in this study, she must inform her treating physician immediately. Prior to study enrollment, WOCBP must be advised of the importance of avoiding pregnancy during trial participation and the potential risk factors for an unintentional pregnancy. In addition, men enrolled on this study should understand the risks to any sexual partner of childbearing potential. All WOCBP must have a negative pregnancy test within 72 hours prior to receiving the first dose of the investigational agent(s). Registration may occur prior to this pregnancy test. If the pregnancy test is positive, the patient must not receive protocol treatment and must not be enrolled in the study. WOCBP is defined as follows: Any female who has experienced menarche and who has not undergone successful surgical sterilization (hysterectomy, bilateral tubal ligation, or a bilateral oophorectomy) or is not postmenopausal (defined as amenorrhea > 12 consecutive months, or women on hormone replacement therapy (HRT) with documented plasma follicle-stimulating hormone (FSH) level > 35 mIU/ml). Even women who are using oral, implanted, or injectable contraceptive hormones or mechanical products (diaphragm, condoms, spermicides) to prevent pregnancy or practicing abstinence or where partner is sterile (e.g. vasectomy), should be considered to be a WOCBP.

Women of child-bearing potential, defined as all women physiologically capable of becoming pregnant, unless they are using highly effective methods of contraception throughout the study and for 8 weeks after study drug discontinuation. Women are considered post-menopausal and not of child bearing potential if they have had 12 months of natural (spontaneous) amenorrhea with an appropriate clinical profile (e.g. age appropriate, history of vasomotor symptoms) or have had surgical bilateral oophorectomy (with or without hysterectomy) or tubal ligation at least six weeks ago. In the case of oophorectomy alone, only when the reproductive status of the woman has been confirmed by follow up hormone level assessment is she considered not of child bearing potential. Highly effective contraception methods include:

Total abstinence when this is in line with the preferred and usual lifestyle of the patient. Periodic abstinence (e.g., calendar, ovulation, symptothermal, post-ovulation methods) and withdrawal are not acceptable methods of contraception
Female sterilization (have had surgical bilateral oophorectomy with or without hysterectomy), total hysterectomy, or tubal ligation at least six weeks before taking study treatment. In case of oophorectomy alone, only when the reproductive status of the woman has been confirmed by follow up hormone level assessment
Use of oral, injected or implanted hormonal methods of contraception or placement of an intrauterine device (IUD) or intrauterine system (IUS), or other forms of hormonal contraception that have comparable efficacy (failure rate <1%), for example hormone vaginal ring or transdermal hormone contraception.
In case of use of oral contraception, women should have been stable on the same pill for a minimum of 3 months before taking study treatment. Note: While oral contraceptives are allowed, they should be used in conjunction with a barrier method of contraception due to unknown effect of drug-drug interaction",120,Boston,United States,Massachusetts,02214,18 Years,,Recruiting,Phase 2,Aditya Bardia,Massachusetts General Hospital,Massachusetts General Hospital,Ribociclib,"December 12, 2017",Aditya Bardia
664,665,NCT00675259,Phase II NCT (Neoadjuvant Chemotherapy) w/ Weekly Abraxane in Combination With Carboplatin & Bevacizumab in Breast Cancer,Breast Cancer,Interventional,"Inclusion:

Histologically confirmed breast cancer
Clinically or radiographically measurable residual tumor after core biopsy
Eastern Cooperative Oncology Group (ECOG) performance status 0-1
Age ≥18 yrs
Absolute neutrophil count ≥ 1,500/mm³
Hemoglobin ≥ 9 g/dL
Platelet count ≥ 100,000/ mm³
Creatinine ≤ 1.5 times upper limit of normal (ULN)
Urine protein:creatinine ratio < 1.0
AST (aspartate aminotransferase) and ALT ≤ 2.5 times ULN
Alkaline phosphatase ≤ 2.5 times ULN
Bilirubin normal
Women of childbearing potential must use effective contraception
Left ventricular ejection fraction (LVEF) normal by echocardiogram or MUGA

Exclusion:

No residual tumor after initial biopsy
Peripheral neuropathy of grade 2 or higher
HER-2 neu overexpression either by IHC 3+ or FISH+
No history of any prior treatment of breast cancer.
No history of unstable angina or myocardial infarction within the past 12 months
Pregnant or nursing women
Anticoagulation therapy within the last 6 months
History of gastrointestinal bleeding
Recent hemoptysis
No known hepatitis B or HIV seropositivity
No inadequately controlled hypertension, defined as systolic blood pressure (BP) > 150 mm Hg and/or diastolic BP > 100 mm Hg despite antihypertensive medications
History of hypertensive crisis or hypertensive encephalopathy
New York Heart Association class II-IV congestive heart failure
History of stroke or transient ischemic attack at any time
Significant vascular disease (e.g., aortic aneurysm or aortic dissection)
No symptomatic peripheral vascular disease
Evidence of bleeding diathesis or coagulopathy
Significant traumatic injury within the past 28 days
History of abdominal fistula, gastrointestinal perforation, or intra-abdominal abscess within the past 6 months
Serious, non-healing wound, ulcer, or bone fracture
Known hypersensitivity to any component of bevacizumab",33,Columbus,United States,Ohio,43210,18 Years,,Completed,Phase 2,,,Ohio State University Comprehensive Cancer Center,bevacizumab,July 2008,
665,666,NCT00623519,Assessment of Endometrial Changes in Postmenopausal Women With Breast Cancer in Adjuvant Treatment With Anastrozole,Breast Cancer,Observational,"Inclusion Criteria:

Provision of Informed Consent
Resectable breast cancer patients, with histological confirmation
Patients eligible to receive hormonal adjuvant treatment with Anastrozole
They are allowed patients treated with adjuvant chemo or radiotherapy concurrently
Patients previously treated with Tamoxifen that had to withdraw treatment due to other reason than endometrial changes are allowed
Postmenopausal patients(aged 50 years or over/ without menses in the last months/ FSH level >40UI/L / women under 50 years with FSH levels>40UI/L).
Women showing progesterone and/or estrogen receptors positive.

Exclusion Criteria:

Patients with evidence of metastatic disease
Patients unsuitable to receive the medication according the Anastrozole label
Patients not giving their Informed Consent",165,Coruña,Spain,,,18 Years,,Completed,,,,AstraZeneca,,June 2004,
666,667,NCT00898131,Collecting Tissue Samples for Future Research From Women Undergoing Surgery for Breast Cancer,Breast Cancer,Observational,"DISEASE CHARACTERISTICS:

Undergoing surgery for breast cancer",10000,Chicago,United States,Illinois,60611-3013,,,Recruiting,,,,Northwestern University,,August 2001,"Seema Khan, MD"
667,668,NCT03474016,Cell Free DNA and Its Integrity Using ALU Sequences as a Biomarker for Diagnosis of Breast Cancer,Breast Cancer,Observational,"Inclusion Criteria:

All patients enrolled before initiation of any treatment.

Exclusion Criteria:

Any other malignant or benign tumors.
Active inflammatory or autoimmune diseases.
Renal or liver diseases.",116,,,,,19 Years,80 Years,Unknown status,,Fatma Mostafa Mohamed,Assiut University,Assiut University,Mammography-Histopathological examination of breast mass specimens- polymerase chain reaction,July 2018,
668,669,NCT04816006,"Breast Cancer, Reasoning, and Activity Intervention",Breast Cancer,Interventional,"Inclusion Criteria:

Adult female with first-time, primary diagnosis of Stage I-IIIa breast cancer
Post-menopausal at diagnosis (no menses for 12 mo.)
Post-surgery and completed primary adjuvant treatments (i.e., radiation and/or chemotherapy) within 6-24 months of study enrollment (current hormonal therapy eligible)
Sedentary except for casual lifestyle recreation. Sedentary will be defined as reporting 20+ minutes of exercise PA on 2 or fewer days per week within previous 6 months
Physician's clearance to participate in an exercise program
Agree to be randomized to exercise or control
Telephone Interview of Cognitive status (TICS-M) performance above impaired range (>21)
Provide informed consent
Fully vaccinated for COVID-19

Exclusion Criteria:

Scheduled to receive breast surgery during study
Second cancer diagnosis (excluding non-invasive skin cancers; including breast cancer recurrence)
History of stroke, transient ischemic attack, neurological disorders, or brain surgery involving tissue removal
Unable to walk without assistance or devices
Clinically significant TICS-M
Unwilling to complete study requirements
Contraindications to fMRI in accordance with institutional safety protocols
Enrolled in another physical activity program
Not fully vaccinated for COVID-19",180,Omaha,United States,Nebraska,68198-8440,19 Years,,Not yet recruiting,Not Applicable,Diane Ehlers,University of Nebraska,University of Nebraska,Aerobic Exercise Training,"November 1, 2021","Melissa Cole, MA"
669,670,NCT04200001,Evaluation of Sexual Quality of Life for Breast Cancer,Breast Cancer,Observational,"Inclusion Criteria:

Female age ≥ 18 years old and less than 51 years old.
Patient with non-metastatic early breast cancer,
Patient undergoing adjuvant hormonal therapy for at least 2 years,
Patient who has been treated by surgery, with or without chemotherapy and/or radiotherapy.
Patient being currently sexually active.
Patient who agreed, after receiving information, to participate to the study.

Exclusion Criteria:

Patient who refused to participate to this study or is unable to fulfill a questionnaire,
Patient not affiliated to the French social security system,
Subject under tutelage, curatorship or safeguard of justice,
Patient in an emergency situation,
Patient whose regular monitoring is impossible for psychological, family, social or geographical reasons,
Pregnant and / or breastfeeding woman.",45,Montpellier,France,,34298,18 Years,51 Years,Completed,,,,Institut du Cancer de Montpellier - Val d'Aurelle,Quality of life,"February 10, 2020",
670,671,NCT01290835,Conformal Partial Breast Irradiation With CyberKnife After Resection for Early Stage Breast Cancer,Breast Cancer,Interventional,"Inclusion Criteria:

Diagnosis of breast malignancy, stage T1
Surgical treatment with lumpectomy
age 60 or older
resection margins negative by at least 2mm
any grade
ER positive
unicentric
invasive ductal
pathologic free of nodal metastases (N0, i- or i+)
Post-lumpectomy cavity to whole breast ratio must be less than or equal to 30%

Exclusion criteria

Prior radiotherapy to the breast
Neoadjuvant chemotherapy
multicentric disease
Pure DCIS histology
Presence of extensive intraductal component
Node positive disease (N1 or greater)",20,Duluth,United States,Minnesota,55805,60 Years,60 Years,"Active, not recruiting",Not Applicable,Ken Dornfeld,Essentia Health,Essentia Health,Stereotactic radiotherapy delivered by CyberKnife,June 2010,
671,672,NCT02266602,Intraoperative Radiation Therapy in Early Stage Breast Cancer,Breast Cancer,Interventional,"Inclusion Criteria:

General Inclusion Criteria

Age ≥ 45 years.
Clinical stage Tis, T1, T2 (≤ 3cm), N0, M0 (AJCC Classification).
Invasive ductal or lobular carcinoma, DCIS and/ or pleomorphic lobular carcinoma in situ.

Exclusion Criteria:

Scleroderma, systemic sclerosis and active lupus.
Participation in an investigational drug or device study.
Previous ipsilateral radiation to the thorax or breast.
Multifocal breast cancer.
Pregnant patients.
Patient not competent to provide informed consent.
Neoadjuvant systemic therapy.
Lymphovascular invasion on biopsy pathology",500,Seattle,United States,Washington,98101,45 Years,,Completed,Not Applicable,Michelle Yao,Benaroya Research Institute,Benaroya Research Institute,Intraoperative Radiation Therapy,February 2012,
672,673,NCT02666079,The LightPath® Breast Cancer Study,Breast Cancer,Interventional,"Inclusion Criteria:

Subjects who have signed an informed consent form prior to any study related activity
Subjects who are able to give voluntary, written informed consent to participate in this study.
Subjects who are able to understand this study and are willing to complete all the study assessments
Female participants ≥18 years of age with a diagnosis of invasive breast cancer
Subjects who have disease in one quadrant of the breast, not including the nipple
Subjects scheduled for WLE for breast cancer +/- SLNB or ALND.
Females of childbearing age must have a negative pregnancy test (by Beta human chorionic gonadotropin (HCG) qualitative analysis), or must have had a history of a surgical sterilisation, or must give history of no menses in the past twelve months

Exclusion Criteria:

Subjects with pure DCIS or with pleomorphic LCIS
Subjects who have had surgery in the ipsilateral breast in the past 12 months
Subjects who have had radiotherapy in the ipsilateral breast
Subjects who have had neoadjuvant systemic therapy
Subjects who have had systemic chemotherapy in the past two years
Subjects with a non-palpable lesion scheduled to have radio guided occult lesion localisation (ROLL)
Subjects who have known hypersensitivity to 18F-FDG
Subjects who are pregnant or lactating
Subjects who have an existing medical condition that would compromise their participation in the study
Subjects who have participated in a clinical study in the last 2 months
Subjects with a current or active history of other known cancer",170,Gliwice,Poland,,44-101,18 Years,,Unknown status,Not Applicable,,,Lightpoint Medical Limited,LightPath® Imaging System.,"May 1, 2017",Qamar B Akbar
673,674,NCT04683770,Prognostic Value of Biomarkers in HR + / HER2 - Advanced Breast Cancer,Breast Cancer,Observational,"Inclusion Criteria:

Adult female patients (aged 18-80 years, including 18 and 80 years) with advanced breast cancer confirmed by pathology or imaging are not suitable for surgical resection or radiotherapy for the purpose of cure;
Pathological examination confirmed that ER and/or PR were positive and HER-2 was negative (ER expression: immunohistochemical staining > 1% of tumor cells; PR expression: immunohistochemical staining of tumor cells > 1%; HER-2 negative: immunohistochemical staining of 0,1 +, or fish / CISH negative)
No more than four systematic treatments have been used for advanced diseases
It is expected that the patients can be followed up at least once after the treatment plan is formulated.
The WHO physical status was 0-2 points, and the expected survival time was not less than 3 months;
No more than four systematic treatment regimens have been received in the past for advanced diseases
There was at least one measurable lesion (short diameter of lymph node ≥ 15mm) in imaging examination within 2 weeks before enrollment, and a conventional CT scan was performed. The diameter of spiral CT scan was more than or equal to 20 mm or more than 10 mm.
Prior treatment-related toxicity should be reduced to NCI CTCAE (version 4.03) ≤ 1 degree (except for hair loss or other toxicity judged by the researcher as having no risk to the safety of patients)
Within one week before admission, blood routine examination was basically normal: A. white blood cell count (WBC) ≥ 3.0 × 10 ^ 9 / L; B. neutrophil count (ANC) ≥ 1.5 × 10 ^ 9 / L; C. platelet count (PLT) ≥ 100 × 10 ^ 9 / L;
Within one week before admission, liver, and kidney function tests were basically normal (based on the normal values of laboratories in each research center): A. total bilirubin (TBIL) ≤ 1.5 × ULN; B. alanine aminotransferase and aspartate aminotransferase (ALT / AST) ≤ 2.5 × ULN (liver metastases ≤ 5xuln); C. serum creatinine ≤ 1.5 × ULN or creatinine clearance rate (CCR) ≥ 60 ml/min；

Exclusion Criteria:

The diagnosis of any other malignant tumor within 3 years before enrollment, except for basal cell or squamous cell skin cancer or cervical carcinoma in situ after adequate treatment;
Poor compliance or the situation that the researchers think is not suitable to be included in the study;
Pregnant or lactating patients;
Patients who had received transplantation before;
Patients who had previously received stem cell therapy;
Patients who have received any immunotherapy that may introduce exogenous DNA and other patients who may introduce exogenous DNA within 4 weeks;
Have received more than four systematic treatments for advanced diseases;
May interfere with the concomitant diseases or conditions involved in the study, or have any serious medical barriers that may affect the safety of the subjects (e.g., uncontrollable heart disease, hypertension, active or uncontrollable infection, active hepatitis B virus infection);",200,Guangzhou,China,Guangdong,510000,18 Years,80 Years,Recruiting,,Jianli Zhao,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,"July 1, 2020","Jianli Dr. Zhao, doctor"
674,675,NCT04145947,Evaluation of Prognostic Monitoring for Triple Negative Breast Cancer Patients,Triple Negative Breast Cancer,Observational,"Inclusion Criteria:

Female
Postoperative pathology confirmed invasive breast cancer after surgery for breast lump
Breast cancer-related chemotherapy and radiotherapy completed
triple negative breast cancer patients
age ≤ 60 years old

Exclusion Criteria:

Male
Aged above 60
Breast Carcinoma in situ
Women in pregnancy or breastfeeding
Suffering from other malignant tumors
Non-compliant patient",200,Beijing,China,Beijing,100005,36 Years,60 Years,Recruiting,,Xi Shen,Peking Union Medical College Hospital,Peking Union Medical College Hospital,,"April 25, 2019",Xi Shen
675,676,NCT03096847,Study for Women and Men With Hormone-receptor Positive Locally Advanced or Metastatic Breast Cancer,Advanced Metastatic Breast Cancer,Interventional,"Inclusion Criteria:

Patient is an adult, ≥ 18 years old at the time of informed consent and has signed informed consent before any trial related activities and according to local guidelines
Women and men with advanced (locoregionally recurrent or metastatic) breast cancer not amenable to curative therapy.
Patient has a histologically and/or cytologically confirmed diagnosis of estrogen-receptor positive and/or progesterone receptor positive and HER2-negative breast cancer by local laboratory. Local pathology is sufficient for assessment.

Patient must have either:

Measurable disease, i.e., at least one measurable lesion as per RECIST 1.1 criteria ).
Bone lesions: lytic or mixed (lytic + sclerotic) in the absence of measurable disease
Non-measurable disease
Patient has an Eastern Cooperative Oncology Group (ECOG) performance status ≤2

Exclusion Criteria

Patient who received any CDK4/6 inhibitor or any mTOR inhibitor.
Patient has a known hypersensitivity to any of the excipients of ribociclib or letrozole
Patients with current inflammatory breast cancer.
Patient has received > 1 chemotherapy for the treatment of advanced/metastatic breast cancer
Patient has received > 2 endocrine therapies for the treatment of advanced/metastatic breast cancer

Patient has central nervous system (CNS) involvement. If patient is fulfilling the following 3 criteria she/he is eligible for the trial.

completed prior therapy (including radiation and/or surgery) for CNS metastases ≥ 28 days prior to the start of study and
CNS tumor is clinically stable at the time of screening and
Patient is not receiving steroids and enzyme inducing anti-epileptic medications for brain metastases
Patient has active cardiac disease or a history of cardiac dysfunction",502,Muenchen,Germany,Bayern,80335,18 Years,,Completed,Phase 3,,,Novartis Pharmaceuticals,ribociclib,"October 24, 2016",
